round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
1,0.8536666666666667,0.8551342697252601,0.6052219040989876,2715.313768386841,237.653639793396,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True,0,11250,0.24646126711674898
1,0.7268333333333333,0.6267082246866341,2.0528400195439658,2715.313768386841,219.8317756652832,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True,1,10975,0.19005308165700302
1,0.7246666666666667,0.6336086458831091,1.5323442602157593,2715.313768386841,1418.4572558403015,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True,2,71346,0.17280178372995345
1,0.6616666666666666,0.6357026634641189,2.0423459908167523,2715.313768386841,143.7348244190216,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True,3,6816,0.1711932669049118
1,0.9008333333333334,0.8995071648458979,0.3834565695822239,2715.313768386841,156.52696633338928,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True,4,7613,0.332187174514431
2,0.8596666666666667,0.8612954497328437,0.6398105048127473,2712.469003200531,240.25446224212646,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True,0,11250,0.20531152192848737
2,0.7349166666666667,0.6398290631028345,1.8761843993663787,2712.469003200531,219.21288633346558,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True,1,10975,0.1348859955208463
2,0.8121666666666667,0.786525439744272,0.8460004091262817,2712.469003200531,1416.8855481147766,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True,2,71346,0.11346705329228808
2,0.87225,0.8718837707958684,0.7123430373383065,2712.469003200531,143.3706293106079,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True,3,6816,0.12787339063136519
2,0.9021666666666667,0.9006105155569951,0.3852338518972198,2712.469003200531,156.16041541099548,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True,4,7613,0.24533285779334085
3,0.8853333333333333,0.8867355642653457,0.5263879690989852,2709.2921245098114,239.7033441066742,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False,0,11250,0.18807045517950755
3,0.7426666666666667,0.6535353016742171,1.6757355715433757,2709.2921245098114,219.08081102371216,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False,1,10975,0.11567109299536167
3,0.7534166666666666,0.6930964702987538,1.6868260953426362,2709.2921245098114,1415.3588671684265,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False,2,71346,0.08103315277664731
3,0.8831666666666667,0.8820831452166401,0.5300099060653398,2709.2921245098114,143.31663274765015,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False,3,6816,0.10464376856231264
3,0.919,0.9183184089836829,0.37509199050876,2709.2921245098114,156.66037678718567,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False,4,7613,0.23118068700489497
4,0.884,0.8855427027291964,0.48994022196531295,2711.2141337394714,240.40857315063477,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False,0,11250,0.18266521733356875
4,0.7444166666666666,0.6535594009471989,1.8815578419367471,2711.2141337394714,219.25749921798706,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False,1,10975,0.10228596349189441
4,0.7809166666666667,0.7393164262274607,1.6518125644524893,2711.2141337394714,1416.1085636615753,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False,2,71346,0.05829735157771898
4,0.8709166666666667,0.8698078334179185,0.7972077665959174,2711.2141337394714,143.3840856552124,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False,3,6816,0.10851256567245951
4,0.9059166666666667,0.9052486051161643,0.39407301601891714,2711.2141337394714,156.2785394191742,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False,4,7613,0.22164506935822667
5,0.9029166666666667,0.9035036372965618,0.4439582311672469,2707.8706319332123,239.3352358341217,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False,0,11250,0.18238508531940997
5,0.7393333333333333,0.6411504459503855,1.8723139009475709,2707.8706319332123,218.97383880615234,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False,1,10975,0.10276116301125411
5,0.79525,0.7645150539159659,1.570722479859988,2707.8706319332123,1414.5141048431396,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False,2,71346,0.045807035107439276
5,0.877,0.8752745520761174,0.7011649682015801,2707.8706319332123,142.8961045742035,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False,3,6816,0.11201636816543774
5,0.9151666666666667,0.9137786175896259,0.3584264354798943,2707.8706319332123,156.19971585273743,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False,4,7613,0.2215319888749059
